                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2452,                 4.5268,                 1.5388,                0.01667,                0.26415,                0.01634,                0.00625,                 2.1814,                 4.1604,                 1.4984,              3.845e-05,              3.845e-05,              3.845e-05
                      2,                 2.0739,                  2.693,                 1.4085,                 0.7196,                0.15855,                0.18289,                0.08961,                 1.9021,                 1.7202,                 1.3511,             8.3753e-05,             8.3753e-05,             8.3753e-05
                      3,                 1.8921,                 1.6818,                 1.3122,                0.86824,                0.21599,                0.25819,                0.12213,                 2.0043,                  1.767,                  1.406,             0.00012814,             0.00012814,             0.00012814
                      4,                 1.8804,                 1.5524,                 1.2603,                0.42914,                0.33435,                0.28717,                0.12702,                 1.9355,                 1.8272,                  1.385,             0.00017162,             0.00017162,             0.00017162
                      5,                 1.7915,                 1.4958,                 1.2724,                0.56617,                0.29827,                0.30239,                0.14658,                  1.813,                 1.8206,                 1.3418,             0.00021418,             0.00021418,             0.00021418
                      6,                 1.7672,                 1.4894,                 1.2999,                0.44163,                0.29083,                0.29224,                0.14489,                 1.7733,                 1.5379,                 1.3229,             0.00025583,             0.00025583,             0.00025583
                      7,                 1.7168,                 1.4917,                 1.2393,                0.34516,                0.33125,                0.29327,                0.13436,                 1.7885,                 1.5465,                 1.3322,             0.00029656,             0.00029656,             0.00029656
                      8,                 1.7068,                 1.4433,                 1.2489,                0.34039,                 0.3811,                0.31856,                0.15577,                 1.7272,                 1.8549,                 1.3231,             0.00033638,             0.00033638,             0.00033638
                      9,                 1.7046,                 1.4087,                   1.25,                0.26721,                0.36684,                0.26585,                0.11688,                  1.935,                 2.1655,                 1.4384,             0.00037529,             0.00037529,             0.00037529
                     10,                 1.5899,                 1.2855,                 1.1939,                0.72009,                0.25771,                0.33739,                0.15925,                 1.7717,                 1.5402,                 1.3609,             0.00041328,             0.00041328,             0.00041328
                     11,                 1.5408,                  1.227,                  1.197,                0.54929,                0.31412,                0.33181,                0.16743,                 1.6643,                 1.4676,                 1.3404,             0.00045036,             0.00045036,             0.00045036
                     12,                 1.4852,                 1.2155,                  1.162,                 0.5415,                0.29413,                0.33793,                0.15612,                 1.8164,                 1.5688,                  1.442,             0.00048653,             0.00048653,             0.00048653
                     13,                 1.5787,                 1.2509,                 1.2109,                0.34731,                0.31728,                0.29063,                0.12827,                   1.87,                 1.7956,                 1.4551,             0.00052178,             0.00052178,             0.00052178
                     14,                 1.5891,                 1.2695,                 1.2123,                0.57009,                0.25967,                0.28469,                0.13638,                 1.7748,                 1.6746,                 1.4113,             0.00055612,             0.00055612,             0.00055612
                     15,                 1.4507,                 1.2091,                 1.1649,                0.61847,                0.25105,                0.29337,                0.13488,                 1.8055,                 1.8116,                  1.428,             0.00058955,             0.00058955,             0.00058955
                     16,                 1.5543,                 1.1989,                 1.1823,                0.47444,                0.33579,                0.33882,                0.14372,                 1.7994,                 1.6754,                 1.4551,             0.00062206,             0.00062206,             0.00062206
                     17,                 1.5052,                 1.1518,                 1.1432,                0.61839,                0.31204,                0.33209,                0.15486,                 1.8002,                 1.6614,                 1.4281,             0.00064719,             0.00064719,             0.00064719
                     18,                 1.4689,                 1.1689,                  1.145,                0.71318,                0.29508,                0.34457,                0.16816,                 1.8905,                 1.6591,                 1.4846,             0.00063958,             0.00063958,             0.00063958
                     19,                 1.4796,                 1.1289,                 1.1859,                 0.6553,                0.30164,                0.33791,                0.16816,                 1.8336,                 1.5853,                 1.4568,             0.00063196,             0.00063196,             0.00063196
                     20,                 1.4148,                 1.0421,                 1.1308,                0.71473,                 0.2949,                0.33391,                0.16055,                 1.8917,                 1.6098,                 1.4775,             0.00062435,             0.00062435,             0.00062435
                     21,                 1.4218,                 1.0545,                 1.1096,                0.66486,                0.26422,                0.30137,                0.14905,                  1.794,                 1.5432,                 1.4337,             0.00061674,             0.00061674,             0.00061674
                     22,                 1.3212,                0.99363,                 1.0785,                 0.5597,                0.24013,                0.26757,                0.14769,                 1.8128,                  1.618,                 1.4267,             0.00060912,             0.00060912,             0.00060912
                     23,                 1.3885,                 1.0226,                   1.11,                0.57273,                0.31926,                0.33957,                 0.1615,                 1.8267,                 1.5231,                 1.4229,             0.00060151,             0.00060151,             0.00060151
                     24,                 1.3024,                0.94381,                 1.0753,                 0.5106,                0.32257,                0.36418,                0.16582,                 1.7733,                 1.5169,                  1.413,              0.0005939,              0.0005939,              0.0005939
                     25,                 1.3454,                0.99511,                 1.0975,                0.43284,                0.34987,                0.36995,                0.16558,                 1.7837,                 1.5038,                 1.4285,             0.00058629,             0.00058629,             0.00058629
                     26,                 1.2974,                0.94014,                 1.0839,                0.31331,                0.40521,                0.36575,                0.15424,                 1.7914,                 1.5998,                 1.4478,             0.00057867,             0.00057867,             0.00057867
                     27,                 1.2565,                0.92579,                 1.0702,                0.45358,                0.34129,                0.34328,                0.14695,                 1.8312,                 1.5434,                 1.4711,             0.00057106,             0.00057106,             0.00057106
                     28,                 1.2717,                0.93989,                 1.0964,                0.45195,                0.31772,                0.30898,                0.15648,                 1.8502,                 1.4257,                 1.4474,             0.00056345,             0.00056345,             0.00056345
                     29,                 1.3252,                0.93976,                 1.0793,                0.31259,                0.36777,                0.30232,                  0.153,                 1.9232,                 1.4087,                 1.5076,             0.00055583,             0.00055583,             0.00055583
                     30,                 1.3288,                0.92783,                 1.0871,                0.54604,                0.35365,                 0.3595,                0.18946,                 1.8483,                  1.343,                 1.4688,             0.00054822,             0.00054822,             0.00054822
                     31,                 1.1829,                 0.8203,                  1.031,                0.39613,                0.35533,                0.34957,                0.18586,                 1.8695,                 1.3564,                 1.4657,             0.00054061,             0.00054061,             0.00054061
                     32,                 1.2258,                0.89179,                 1.0596,                0.49896,                0.33265,                0.35986,                0.18489,                  1.825,                  1.421,                 1.4139,             0.00053299,             0.00053299,             0.00053299
                     33,                 1.2198,                0.85932,                 1.0357,                0.54866,                0.31809,                0.35501,                0.18273,                  1.831,                 1.3962,                 1.4362,             0.00052538,             0.00052538,             0.00052538
                     34,                 1.2376,                0.86217,                  1.067,                 0.4426,                0.38628,                0.39325,                0.21636,                 1.7507,                 1.4483,                 1.3794,             0.00051777,             0.00051777,             0.00051777
                     35,                 1.2334,                0.85618,                 1.0345,                0.65709,                0.33707,                0.40554,                0.23162,                 1.6806,                 1.4788,                 1.3557,             0.00051015,             0.00051015,             0.00051015
                     36,                 1.1936,                0.82241,                 1.0347,                0.66916,                0.35903,                0.40624,                0.23329,                 1.7254,                 1.4549,                 1.3951,             0.00050254,             0.00050254,             0.00050254
                     37,                 1.1829,                0.78754,                 1.0263,                0.61642,                0.36749,                0.39762,                0.21843,                 1.7619,                 1.4614,                 1.4155,             0.00049493,             0.00049493,             0.00049493
                     38,                 1.1743,                0.78843,                 1.0283,                0.59593,                0.37364,                0.42291,                0.23947,                  1.738,                 1.3861,                 1.4038,             0.00048732,             0.00048732,             0.00048732
                     39,                  1.153,                0.76783,                 1.0029,                0.60824,                0.37105,                0.41898,                0.22899,                 1.7417,                 1.3898,                 1.4146,              0.0004797,              0.0004797,              0.0004797
                     40,                 1.1215,                0.79082,                 1.0052,                0.62329,                0.36469,                0.40574,                0.23455,                 1.7321,                 1.3983,                 1.4123,             0.00047209,             0.00047209,             0.00047209
                     41,                 1.0757,                0.76322,                0.98449,                0.59658,                0.38198,                 0.4115,                0.23888,                 1.7119,                 1.3893,                 1.4075,             0.00046448,             0.00046448,             0.00046448
                     42,                 1.0513,                0.72492,                 1.0065,                0.56008,                0.37826,                0.41721,                0.25619,                 1.6961,                 1.2928,                 1.4255,             0.00045686,             0.00045686,             0.00045686
                     43,                 1.1142,                0.77534,                 1.0011,                0.52526,                0.39678,                0.41257,                0.24601,                 1.6891,                 1.2763,                 1.4334,             0.00044925,             0.00044925,             0.00044925
                     44,                 1.1254,                0.74922,                 1.0034,                 0.6039,                0.39487,                0.41154,                 0.2433,                 1.6865,                 1.3094,                  1.417,             0.00044164,             0.00044164,             0.00044164
                     45,                 1.1097,                0.74535,                0.99987,                0.59854,                0.37207,                 0.4065,                0.24444,                 1.6358,                 1.2594,                 1.3867,             0.00043402,             0.00043402,             0.00043402
                     46,                 1.0552,                0.71362,                0.99239,                0.60553,                0.36592,                0.39747,                0.22572,                  1.687,                 1.3394,                 1.3935,             0.00042641,             0.00042641,             0.00042641
                     47,                 1.0033,                0.66183,                0.96173,                0.61864,                0.37372,                0.39885,                0.21493,                 1.8102,                 1.3804,                 1.4696,              0.0004188,              0.0004188,              0.0004188
                     48,                 1.0793,                0.72516,                0.98994,                0.60168,                0.39035,                0.40498,                0.24687,                 1.7084,                 1.2919,                 1.4195,             0.00041118,             0.00041118,             0.00041118
                     49,                0.99476,                0.65517,                0.94183,                 0.6386,                0.37655,                0.41219,                0.25888,                   1.67,                 1.2727,                  1.372,             0.00040357,             0.00040357,             0.00040357
                     50,                 1.0056,                0.67355,                0.96144,                0.62139,                0.37441,                0.41596,                0.22909,                 1.8215,                 1.3294,                  1.499,             0.00039596,             0.00039596,             0.00039596
                     51,                 1.0185,                0.67068,                0.96182,                0.66435,                0.36718,                0.42356,                0.24291,                 1.7474,                 1.3785,                 1.4056,             0.00038835,             0.00038835,             0.00038835
                     52,                0.99615,                0.66163,                0.95519,                0.74227,                0.34768,                0.42658,                0.25684,                 1.6557,                 1.2627,                 1.3395,             0.00038073,             0.00038073,             0.00038073
                     53,                  1.001,                0.68479,                0.96449,                0.66825,                 0.3373,                0.41358,                0.24086,                 1.7304,                 1.2753,                 1.3937,             0.00037312,             0.00037312,             0.00037312
                     54,                 1.0202,                0.68628,                0.95934,                0.77709,                0.34913,                0.41168,                0.25298,                 1.7101,                 1.2774,                 1.3851,             0.00036551,             0.00036551,             0.00036551
                     55,                 1.0153,                0.66477,                0.95727,                0.75796,                0.34781,                0.43062,                 0.2682,                 1.6482,                  1.272,                 1.3603,             0.00035789,             0.00035789,             0.00035789
                     56,                 1.0096,                0.66442,                0.96764,                0.63884,                0.37828,                 0.4101,                0.25689,                  1.676,                  1.358,                 1.3915,             0.00035028,             0.00035028,             0.00035028
                     57,                0.99653,                 0.6653,                0.95152,                0.60154,                0.36082,                0.40435,                0.24475,                 1.6969,                 1.3814,                 1.4127,             0.00034267,             0.00034267,             0.00034267
                     58,                 1.0215,                0.66578,                 0.9606,                0.62168,                0.33364,                0.40151,                0.23778,                 1.6863,                 1.3809,                 1.3784,             0.00033505,             0.00033505,             0.00033505
                     59,                0.92134,                0.61118,                0.93697,                0.61382,                0.31378,                0.40238,                0.24492,                  1.642,                 1.3775,                 1.3581,             0.00032744,             0.00032744,             0.00032744
                     60,                0.96534,                0.62399,                0.93249,                0.39718,                 0.4155,                0.39021,                0.23041,                 1.7018,                  1.329,                 1.3832,             0.00031983,             0.00031983,             0.00031983
                     61,                0.89657,                0.60108,                0.93441,                0.41509,                 0.3888,                0.39532,                0.21839,                  1.745,                 1.3138,                  1.407,             0.00031221,             0.00031221,             0.00031221
                     62,                0.89607,                0.59147,                0.92224,                0.82815,                0.32237,                0.40665,                0.23975,                 1.6745,                 1.2558,                  1.395,              0.0003046,              0.0003046,              0.0003046
                     63,                0.92034,                0.60965,                0.91753,                0.70892,                0.32585,                  0.421,                0.24686,                 1.6552,                 1.2146,                 1.3648,             0.00029699,             0.00029699,             0.00029699
                     64,                0.89306,                0.57915,                0.90649,                0.51292,                0.38485,                0.42098,                0.25454,                 1.6306,                 1.1942,                 1.3265,             0.00028937,             0.00028937,             0.00028937
                     65,                0.87462,                0.56899,                0.90152,                0.66644,                0.32147,                0.41344,                0.24983,                 1.6459,                  1.208,                 1.3507,             0.00028176,             0.00028176,             0.00028176
                     66,                0.93334,                0.60897,                0.92248,                0.73236,                0.33715,                0.41026,                0.23619,                 1.7026,                 1.2928,                 1.4026,             0.00027415,             0.00027415,             0.00027415
                     67,                0.91262,                0.58434,                 0.9203,                0.76163,                0.33784,                0.41137,                0.23668,                 1.6723,                 1.2344,                 1.3808,             0.00026654,             0.00026654,             0.00026654
                     68,                0.85083,                0.55525,                0.89957,                0.61044,                0.36341,                0.40596,                0.22994,                 1.6806,                 1.2153,                 1.3817,             0.00025892,             0.00025892,             0.00025892
                     69,                0.86792,                0.55939,                0.90149,                0.58504,                0.37394,                0.40879,                0.22373,                 1.7592,                 1.2721,                 1.4352,             0.00025131,             0.00025131,             0.00025131
                     70,                0.91775,                0.56883,                0.90876,                0.56105,                0.37314,                0.41174,                0.24227,                 1.6833,                 1.2513,                 1.3966,              0.0002437,              0.0002437,              0.0002437
                     71,                0.82722,                0.52832,                0.90776,                0.57603,                0.38064,                0.41473,                0.24163,                 1.6737,                 1.2685,                 1.3877,             0.00023608,             0.00023608,             0.00023608
                     72,                0.85221,                0.54898,                0.91077,                0.48546,                0.39093,                0.39832,                0.22178,                 1.7609,                 1.3053,                 1.4068,             0.00022847,             0.00022847,             0.00022847
                     73,                0.84274,                0.55538,                0.92838,                0.50876,                0.38983,                0.39759,                0.22039,                 1.7381,                 1.3058,                 1.3959,             0.00022086,             0.00022086,             0.00022086
                     74,                0.84254,                0.55366,                0.89932,                0.52652,                0.38421,                0.39966,                0.22417,                 1.6863,                  1.316,                 1.3756,             0.00021324,             0.00021324,             0.00021324
                     75,                0.84369,                0.54261,                 0.8991,                0.54457,                0.37177,                0.40062,                0.22813,                 1.6811,                 1.3111,                 1.3771,             0.00020563,             0.00020563,             0.00020563
                     76,                 0.8458,                0.52548,                 0.8891,                0.58102,                0.37171,                0.40687,                0.23818,                 1.6576,                  1.294,                 1.3845,             0.00019802,             0.00019802,             0.00019802
                     77,                0.85365,                 0.5509,                0.91554,                0.59055,                0.36622,                0.40594,                0.24357,                  1.626,                 1.2686,                 1.3668,              0.0001904,              0.0001904,              0.0001904
                     78,                0.82655,                0.53781,                0.90454,                 0.6347,                0.36769,                0.41683,                0.25642,                 1.5648,                 1.2455,                 1.3401,             0.00018279,             0.00018279,             0.00018279
                     79,                 0.8169,                0.52126,                0.90289,                0.66593,                0.37215,                0.41352,                0.25585,                  1.557,                 1.2469,                 1.3403,             0.00017518,             0.00017518,             0.00017518
                     80,                0.83274,                0.52964,                0.89391,                0.64681,                0.36427,                0.41282,                0.24738,                 1.6238,                 1.2525,                 1.3794,             0.00016757,             0.00016757,             0.00016757
                     81,                0.80042,                0.53088,                 0.9021,                0.62269,                0.36672,                0.41217,                0.24636,                 1.6153,                 1.2425,                 1.3746,             0.00015995,             0.00015995,             0.00015995
                     82,                 0.7869,                 0.5049,                0.88725,                 0.6516,                0.36872,                0.41431,                0.25784,                 1.5598,                 1.2217,                 1.3454,             0.00015234,             0.00015234,             0.00015234
                     83,                0.80943,                0.50882,                0.88192,                0.60403,                0.37315,                0.41007,                0.25907,                 1.5751,                 1.2375,                 1.3483,             0.00014473,             0.00014473,             0.00014473
