                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.2628,                0.88759,                 1.0813,                0.38971,                0.38418,                0.36335,                0.19334,                 1.7815,                 1.4849,                 1.4606,             0.00068526,             0.00068526,             0.00068526
                     35,                 1.2865,                0.88985,                 1.0636,                0.51209,                0.36263,                 0.3614,                0.19159,                  1.794,                 1.5312,                 1.4733,             0.00068272,             0.00068272,             0.00068272
                     36,                 1.2298,                0.82605,                  1.051,                0.43302,                0.37818,                 0.3713,                0.20586,                 1.7201,                 1.4909,                 1.4346,             0.00068018,             0.00068018,             0.00068018
                     37,                 1.2602,                0.83297,                   1.07,                 0.4643,                0.38809,                0.36417,                0.21015,                 1.7694,                 1.5265,                 1.4627,             0.00067764,             0.00067764,             0.00067764
                     38,                 1.2524,                0.84041,                 1.0669,                0.66029,                0.30483,                0.34085,                0.18281,                  1.794,                 1.4708,                  1.416,             0.00067511,             0.00067511,             0.00067511
                     39,                 1.2365,                0.80611,                 1.0426,                0.53505,                0.31505,                0.35598,                0.20865,                 1.7107,                  1.407,                 1.3668,             0.00067257,             0.00067257,             0.00067257
                     40,                 1.2066,                0.81817,                 1.0468,                0.48541,                0.35398,                0.37177,                0.21076,                 1.8034,                 1.4698,                 1.4693,             0.00067003,             0.00067003,             0.00067003
                     41,                 1.1408,                0.76069,                 1.0095,                0.67535,                0.29649,                 0.3715,                0.20183,                 1.7664,                 1.4181,                  1.422,             0.00066749,             0.00066749,             0.00066749
                     42,                  1.145,                0.76525,                 1.0352,                0.56127,                0.31674,                0.38187,                0.21199,                 1.7467,                 1.3584,                 1.4214,             0.00066495,             0.00066495,             0.00066495
                     43,                 1.2183,                0.82645,                 1.0482,                0.63413,                0.30155,                0.37257,                0.20417,                 1.8121,                  1.375,                 1.4697,             0.00066242,             0.00066242,             0.00066242
                     44,                 1.1801,                 0.7935,                 1.0181,                0.56438,                 0.3165,                0.37302,                0.19314,                 1.8415,                 1.3984,                 1.4269,             0.00065988,             0.00065988,             0.00065988
                     45,                 1.1881,                0.79204,                  1.032,                 0.5511,                0.31939,                0.35906,                0.18521,                 1.8634,                  1.395,                 1.4331,             0.00065734,             0.00065734,             0.00065734
                     46,                 1.1187,                0.77225,                 1.0256,                0.66527,                0.34364,                 0.4116,                0.21598,                 1.8176,                   1.38,                 1.4502,              0.0006548,              0.0006548,              0.0006548
                     47,                 1.0532,                0.70663,                0.98534,                0.60403,                 0.3613,                0.40923,                0.22065,                  1.799,                 1.3228,                 1.4507,             0.00065227,             0.00065227,             0.00065227
                     48,                  1.141,                 0.7628,                 1.0103,                0.61491,                0.32256,                0.40017,                0.22596,                 1.8025,                 1.3573,                 1.4843,             0.00064973,             0.00064973,             0.00064973
                     49,                 1.0674,                 0.7195,                 0.9757,                0.61017,                0.33767,                0.40201,                0.23091,                 1.7489,                 1.3093,                 1.4376,             0.00064719,             0.00064719,             0.00064719
                     50,                 1.0584,                0.77079,                0.97584,                 0.5069,                0.37374,                0.38355,                0.22751,                 1.6912,                  1.386,                 1.4027,             0.00064465,             0.00064465,             0.00064465
                     51,                 1.0854,                0.71975,                0.98727,                0.49016,                 0.3677,                0.37476,                0.20821,                 1.7379,                 1.4406,                 1.4524,             0.00064212,             0.00064212,             0.00064212
                     52,                 1.0971,                0.73438,                 1.0063,                0.62584,                 0.3334,                0.37977,                0.20476,                 1.7627,                 1.3711,                 1.4251,             0.00063958,             0.00063958,             0.00063958
                     53,                 1.0841,                0.75099,                 1.0041,                0.61057,                0.33205,                0.37217,                0.19362,                 1.8047,                 1.4712,                 1.4718,             0.00063704,             0.00063704,             0.00063704
                     54,                  1.102,                0.73444,                  0.991,                0.56257,                0.37125,                0.37618,                0.21328,                 1.7086,                 1.4389,                 1.3969,              0.0006345,              0.0006345,              0.0006345
                     55,                 1.1143,                0.74045,                0.99536,                0.52215,                0.37536,                0.36833,                  0.203,                 1.7593,                 1.3653,                 1.4133,             0.00063196,             0.00063196,             0.00063196
                     56,                  1.085,                0.72459,                 0.9939,                0.54843,                0.38502,                0.39137,                0.22611,                 1.7699,                 1.3736,                 1.4293,             0.00062943,             0.00062943,             0.00062943
                     57,                 1.0969,                0.72054,                 0.9869,                0.39883,                0.38975,                0.39245,                0.22455,                 1.7717,                 1.3519,                 1.4404,             0.00062689,             0.00062689,             0.00062689
                     58,                 1.0762,                0.71037,                 0.9791,                0.56704,                0.38318,                0.37645,                0.21328,                 1.7867,                 1.3486,                  1.428,             0.00062435,             0.00062435,             0.00062435
                     59,                0.98482,                0.65399,                0.95231,                0.54101,                0.35793,                0.37339,                 0.2132,                 1.7497,                 1.3014,                 1.4374,             0.00062181,             0.00062181,             0.00062181
                     60,                 1.0423,                 0.6782,                0.95601,                0.48791,                0.34078,                0.36653,                0.20606,                 1.7558,                 1.2973,                 1.4375,             0.00061928,             0.00061928,             0.00061928
                     61,                0.99805,                0.69201,                 0.9796,                0.49572,                0.35866,                0.39699,                0.23009,                 1.7012,                 1.2113,                 1.3966,             0.00061674,             0.00061674,             0.00061674
                     62,                0.98924,                0.65594,                0.95622,                0.70908,                0.33075,                0.37939,                0.20351,                 1.7658,                 1.2958,                 1.4256,              0.0006142,              0.0006142,              0.0006142
                     63,                 1.0288,                0.66216,                0.96146,                0.70061,                0.33366,                 0.3791,                0.20751,                 1.7383,                 1.2598,                 1.4066,             0.00061166,             0.00061166,             0.00061166
                     64,                0.99368,                0.63628,                0.94368,                  0.671,                0.35656,                0.40206,                 0.2395,                  1.692,                 1.3144,                 1.3625,             0.00060912,             0.00060912,             0.00060912
                     65,                 1.0017,                0.64797,                0.94083,                0.74703,                0.30647,                0.38335,                0.20181,                 1.8303,                 1.4408,                 1.4693,             0.00060659,             0.00060659,             0.00060659
                     66,                 1.0846,                0.69618,                0.98106,                 0.7263,                0.32266,                   0.38,                0.19897,                 1.7703,                 1.4314,                 1.4488,             0.00060405,             0.00060405,             0.00060405
                     67,                 1.0336,                  0.656,                0.96061,                0.57798,                0.37683,                0.39379,                0.21507,                 1.6894,                 1.3589,                 1.3856,             0.00060151,             0.00060151,             0.00060151
                     68,                0.95429,                0.61015,                0.93739,                0.70875,                0.33086,                 0.3709,                0.19272,                 1.8091,                 1.4517,                 1.4598,             0.00059897,             0.00059897,             0.00059897
                     69,                0.96771,                0.64176,                0.93674,                0.72645,                0.31505,                0.37203,                0.19085,                 1.8279,                 1.4425,                 1.4823,             0.00059644,             0.00059644,             0.00059644
